X,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cells_sum,count_famrecall,count_prestudy_sequence,count_study_response,count_test_response,date_startdate,date_starttime,multichar_knowresp,rtnr,p2dur,plc1,plc1c,plc1s,plc1sh,plc1x,plc1y,plc2,plc2c,plc2s,plc2sh,plc2x,plc2y,plc3,plc3c,plc3s,plc3sh,plc3x,plc3y,plc4,plc4c,plc4s,plc4sh,plc4x,plc4y,plc5,plc5c,plc5s,plc5sh,plc5x,plc5y,plcundefined,plcundefineds,plcundefinedsh,plcundefinedx,plcundefinedy,response_study_response,response_test_response,response_time_study_response,response_time_test_response,sessionid,stim,type,tq
3610,0,0,0,0,4,3,5,2,1,5,0,19,59,79,06-09-23,11:02:31,mioi5k,1,1750,tri3.png,3,1,tri,120,120,sqa5.png,5,1,sqa,0,120,tri3.png,3,1,tri,120,0,sqa4.png,4,1,sqa,0,0,cir6.png,6,1,cir,-120,120,,NA,,NA,NA,right,left,1499,1250,1696582959560,p3sarrshacol4.png,sarrshacol,new
3611,0,0,0,4,1,5,3,2,0,5,0,19,59,79,06-09-23,11:02:31,mioi5k,2,1750,tri5.png,5,1,tri,0,0,sqa4.png,4,1,sqa,0,120,sqa4.png,4,1,sqa,-120,120,tri5.png,5,1,tri,-120,0,cir4.png,4,1,cir,120,0,cir0.png,1,cir,120,120,right,left,1499,1250,1696582959560,p3sarrshacol4.png,sarrshacol,new
3612,0,0,4,1,0,2,5,3,0,5,0,19,59,79,06-09-23,11:02:31,mioi5k,3,1750,cir6.png,6,1,cir,-120,0,sqa1.png,1,1,sqa,120,0,sqa4.png,4,1,sqa,0,120,tri2.png,2,1,tri,120,-120,tri1.png,1,1,tri,-120,120,cir0.png,1,cir,120,120,right,left,1499,1250,1696582959560,p3sarrshacol4.png,sarrshacol,new
3613,0,0,4,2,5,1,3,0,0,5,0,19,59,79,06-09-23,11:02:31,mioi5k,4,1750,tri4.png,4,1,tri,120,0,cir2.png,2,1,cir,-120,0,cir1.png,1,1,cir,-120,120,tri5.png,5,1,tri,120,-120,sqa4.png,4,1,sqa,0,0,cir0.png,1,cir,120,120,right,left,1499,1250,1696582959560,p3sarrshacol4.png,sarrshacol,new
3755,0,2,1,0,4,5,0,3,0,5,0,19,59,79,05-09-23,12:01:34,n6hy56,1,1555,tri5.png,5,1,tri,120,-120,tri3.png,3,1,tri,0,-120,sqa3.png,3,1,sqa,0,120,cir1.png,1,1,cir,0,0,tri5.png,5,1,tri,120,0,,NA,,NA,NA,right,left,1343,1445,1696500100862,p3sarrshacol4.png,sarrshacol,new
3756,5,2,0,4,1,3,0,0,0,5,0,19,59,79,05-09-23,12:01:34,n6hy56,2,1555,tri6.png,6,1,tri,0,0,tri6.png,6,1,tri,0,-120,cir1.png,1,1,cir,120,0,sqa3.png,3,1,sqa,-120,0,sqa3.png,3,1,sqa,-120,-120,,NA,,NA,NA,right,left,1343,1445,1696500100862,p3sarrshacol4.png,sarrshacol,new
3757,0,4,1,2,5,3,0,0,0,5,0,19,59,79,05-09-23,12:01:34,n6hy56,3,1555,tri1.png,1,1,tri,120,-120,sqa4.png,4,1,sqa,-120,0,cir6.png,6,1,cir,120,0,sqa5.png,5,1,sqa,0,-120,tri4.png,4,1,tri,0,0,,NA,,NA,NA,right,left,1343,1445,1696500100862,p3sarrshacol4.png,sarrshacol,new
3758,0,2,1,4,0,5,3,0,0,5,0,19,59,79,05-09-23,12:01:34,n6hy56,4,1555,sqa4.png,4,1,sqa,120,-120,tri2.png,2,1,tri,0,-120,cir6.png,6,1,cir,-120,120,tri4.png,4,1,tri,-120,0,sqa4.png,4,1,sqa,120,0,,NA,,NA,NA,right,left,1343,1445,1696500100862,p3sarrshacol4.png,sarrshacol,new
3900,0,3,1,0,0,2,5,0,4,5,0,19,59,79,05-09-23,11:42:58,etqbog,1,2035,sqa1.png,1,1,sqa,120,-120,cir0.png,0,1,cir,120,0,sqa0.png,0,1,sqa,0,-120,cir0.png,0,1,cir,120,120,tri0.png,0,1,tri,-120,120,,NA,,NA,NA,left,right,942,965,1696498986745,p3sarrshacol4.png,sarrshacol,new
3901,0,0,0,5,2,4,1,3,0,5,0,19,59,79,05-09-23,11:42:58,etqbog,2,2035,sqa0.png,0,1,sqa,-120,120,tri5.png,5,1,tri,0,0,cir0.png,0,1,cir,0,120,cir1.png,1,1,cir,120,0,sqa5.png,5,1,sqa,-120,0,sqa0.png,1,sqa,120,120,left,right,942,965,1696498986745,p3sarrshacol4.png,sarrshacol,new
3902,3,2,4,5,0,1,0,0,0,5,0,19,59,79,05-09-23,11:42:58,etqbog,3,2035,tri1.png,1,1,tri,120,0,cir4.png,4,1,cir,0,-120,cir2.png,2,1,cir,-120,-120,sqa6.png,6,1,sqa,120,-120,sqa3.png,3,1,sqa,-120,0,tri0.png,1,tri,120,120,left,right,942,965,1696498986745,p3sarrshacol4.png,sarrshacol,new
